Team,Average SRS
Miami (FL),22.53
Florida State,18.68
Notre Dame,17.89
Michigan,16.84
Nebraska,16.46
Oklahoma,16.25
USC,15.47
Auburn,15.04
Clemson,14.79
Washington,14.02
UCLA,13.1
Alabama,12.59
Penn State,12.52
Colorado,12.15
Michigan State,11.23
Texas A&M,10.94
LSU,9.63
Florida,9.43
Syracuse,9.3
Tennessee,9.28
Arizona,9.12
Ohio State,8.86
Arkansas,7.8
Georgia,7.7
Iowa,7.59
South Carolina,7.4
BYU,7.4
Houston,7.35
Arizona State,6.92
Pitt,6.81
Stanford,6.62
Oregon,6.58
West Virginia,5.99
Indiana,5.9
Texas,5.4
Virginia,5.29
Illinois,5.18
Georgia Tech,4.57
Washington State,4.47
North Carolina State,4.36
Wyoming,4.16
Oklahoma State,3.42
Texas Tech,3.17
Baylor,3.03
Virginia Tech,2.91
Maryland,2.76
Air Force,2.3
Ole Miss,2.08
San Jose State,1.98
California,1.91
Hawaii,1.53
Southern Mississippi,1.53
Kentucky,1.39
Fresno State,1.09
Minnesota,0.67
Duke,0.42
Boston College,0.32
North Carolina,-0.82
San Diego State,-1.19
Wake Forest,-1.78
Louisiana Tech,-1.86
Louisville,-2.02
Missouri,-2.29
Iowa State,-2.41
Rutgers,-2.44
Texas Christian,-2.74
Mississippi State,-2.76
Colorado State,-2.82
Army,-2.96
East Carolina,-3.03
Temple,-3.87
Oregon State,-4.22
Tulane,-4.29
Louisiana,-4.38
Purdue,-5.34
Tulsa,-5.37
UTEP,-5.5
Utah,-6.73
Memphis,-7.25
Wisconsin,-7.5
SMU,-7.59
Rice,-7.6
Vanderbilt,-7.74
Northwestern,-8.18
Northern Illinois,-8.24
Central Michigan,-8.42
Ball State,-9.44
Kansas,-9.81
Navy,-10.21
Toledo,-10.31
Eastern Michigan,-10.67
Western Michigan,-10.88
Utah State,-11.04
Akron,-11.24
Long Beach State,-11.7
Cal State Fullerton,-11.75
Cincinnati,-11.75
Nevada-Las Vegas,-11.91
New Mexico,-12.13
Kansas State,-12.58
Wichita State,-13.12
Pacific,-13.36
Miami (OH),-13.38
Arkansas State,-14.84
Bowling Green,-15.03
Kent State,-17.25
Ohio,-21.82
New Mexico State,-23.11
